REGISTRO,ANNO,NUMERO
PG,2023,85887
PG,2023,63691
PG,2023,65421
PG,2023,60050
PG,2023,103650
PG,2023,89555
PG,2023,71502
PG,2023,63525
PG,2023,61883
PG,2023,84665
PG,2023,69321
PG,2023,68088
PG,2023,85101
PG,2023,110149
PG,2023,80685
PG,2023,60652
PG,2023,67999
PG,2023,74149
PG,2023,75673
PG,2023,65361
PG,2023,63293
PG,2023,67312
PG,2023,68352
PG,2023,84954
PG,2023,79761
PG,2023,86337
PG,2023,43349
PG,2023,80268
PG,2023,102938
PG,2023,59948
PG,2022,96311
PG,2023,105438
PG,2023,41856
PG,2023,67367
PG,2023,66264
PG,2023,110538
PG,2023,60565
PG,2023,78885
PG,2023,79413
PG,2023,76357
PG,2023,84109
PG,2023,48658
PG,2023,42812
PG,2023,61951
PG,2023,85070
PG,2023,64046
PG,2023,40978
PG,2023,83844
PG,2023,41261
PG,2023,60086
PG,2023,80212
PG,2023,58631
PG,2023,61882
PG,2023,68197
PG,2023,83426
PG,2023,45856
PG,2023,58410
PG,2023,77669
PG,2023,61838
PG,2023,63923
PG,2023,63069
PG,2023,53410
PG,2023,66559
PG,2023,82041
PG,2023,89996
PG,2023,46679
PG,2023,42461
PG,2023,43733
PG,2023,85363
PG,2023,73191
PG,2023,87498
PG,2023,41674
PG,2023,103367
PG,2023,58866
PG,2023,71167
PG,2023,87208
PG,2023,50246
PG,2023,82066
PG,2023,82444
PG,2023,56598
PG,2023,55570
PG,2023,53635
PG,2023,81502
PG,2023,66182
PG,2023,85346
PG,2023,82575
PG,2023,68986
PG,2023,104654
PG,2023,80443
PG,2023,72933
PG,2023,82541
PG,2023,103484
PG,2023,68792
PG,2023,104114
PG,2023,66221
PG,2023,80368
PG,2023,103667
PG,2023,81513
PG,2023,102549
PG,2023,88805
PG,2023,68304
PG,2023,77062
PG,2023,107127
PG,2023,48095
PG,2023,81117
PG,2023,57058
PG,2023,91073
PG,2023,75104
PG,2023,45582
PG,2023,91659
PG,2023,71417
PG,2023,69759
PG,2023,53021
PG,2023,63847
PG,2023,58625
PG,2023,64562
PG,2023,66540
PG,2023,74831
PG,2023,87484
PG,2023,103881
PG,2023,80869
PG,2023,66886
PG,2023,62255
PG,2023,104954
PG,2023,76526
PG,2023,86715
PG,2023,83496
PG,2023,107083
PG,2023,82855
PG,2023,40579
PG,2023,71273
PG,2023,53362
PG,2023,62629
PG,2023,53918
PG,2023,78679
PG,2023,60443
PG,2023,76295
PG,2023,70471
PG,2023,85321
PG,2023,43556
PG,2023,88621
PG,2023,62541
PG,2023,58957
PG,2023,87114
PG,2023,74822
PG,2023,82036
PG,2023,103533
PG,2023,88162
PG,2023,53506
PG,2023,47915
PG,2023,70815
PG,2023,74335
PG,2023,107718
PG,2023,83395
PG,2023,100439
PG,2023,62047
PG,2023,85706
PG,2023,56359
PG,2023,81810
PG,2023,67394
PG,2023,76482
PG,2023,80333
PG,2023,41479
PG,2023,93346
PG,2023,89473
PG,2023,66147
PG,2023,43121
PG,2023,59037
PG,2023,85716
PG,2023,60638
PG,2023,106988
PG,2023,87074
PG,2023,108145
PG,2023,53950
PG,2023,67700
PG,2023,32535
PG,2023,87102
PG,2023,54420
PG,2023,71086
PG,2023,84591
PG,2023,62246
PG,2023,103655
PG,2023,107376
PG,2023,85945
PG,2023,66082
PG,2023,62591
PG,2023,63793
PG,2023,56548
PG,2023,49702
PG,2023,81065
PG,2023,82778
PG,2023,71031
PG,2023,74094
PG,2023,60800
PG,2023,79890
PG,2023,62172
PG,2023,85405
PG,2023,60449
PG,2023,79930
PG,2023,79385
PG,2023,101162
PG,2023,73910
PG,2023,76550
PG,2023,86353
PG,2023,59443
PG,2023,77413
PG,2023,30240
PG,2023,44264
PG,2023,66340
PG,2023,102374
PG,2023,106872
PG,2023,65466
PG,2023,87155
PG,2023,99138
PG,2023,102865
PG,2023,108331
PG,2023,89055
PG,2023,24192
PG,2023,40133
PG,2023,105377
PG,2023,59159
PG,2023,72500
PG,2023,55780
PG,2023,70905
PG,2023,70464
PG,2023,83738
PG,2023,40305
PG,2023,104332
PG,2023,56027
PG,2023,53416
PG,2023,51223
PG,2023,65354
PG,2023,51837
PG,2023,84690
PG,2023,58149
PG,2023,57986
PG,2023,49189
PG,2023,85141
PG,2023,50884
PG,2023,41439
PG,2023,56645
PG,2023,52460
PG,2023,60810
PG,2023,43018
PG,2023,75848
PG,2023,106751
PG,2023,58861
PG,2023,100802
PG,2023,81934
PG,2023,109355
PG,2023,50567
PG,2023,60430
PG,2023,87014
PG,2023,109304
PG,2023,72013
PG,2023,89554
PG,2023,50572
PG,2023,108272
PG,2023,91109
PG,2023,84645
PG,2023,109077
PG,2023,41603
PG,2023,72577
PG,2023,80544
PG,2023,66930
PG,2023,72319
PG,2023,30702
PG,2023,5855
PG,2023,88776
PG,2023,88191
PG,2023,85733
PG,2023,84601
DELI,2023,217
PG,2023,30543
PG,2023,108673
PG,2023,53577
PG,2023,67063
PG,2023,70179
PG,2023,50591
PG,2023,91761
PG,2023,77390
PG,2023,85322
PG,2023,66250
PG,2023,89392
PG,2023,68349
PG,2023,56419
PG,2023,60809
PG,2023,68166
PG,2023,82573
PG,2023,83589
PG,2023,109025
PG,2023,78456
PG,2023,110197
PG,2023,56695
PG,2023,58138
PG,2023,107370
PG,2023,75703
PG,2023,108560
PG,2023,54392
PG,2023,81348
PG,2023,109408
PG,2023,53800
PG,2023,103112
PG,2023,85212
PG,2023,73441
PG,2023,80346
PG,2023,107747
PG,2023,75652
PG,2023,72131
PG,2023,32212
PG,2023,83344
PG,2023,62097
PG,2023,84858
PG,2023,82025
PG,2023,60155
PG,2023,81376
PG,2023,81711
PG,2023,51031
PG,2023,50133
PG,2023,83337
PG,2023,58072
PG,2023,44462
PG,2023,83119
PG,2023,104987
PG,2023,92607
PG,2023,40831
PG,2023,89422
PG,2023,59731
PG,2023,65476
PG,2023,86573
PG,2023,90657
PG,2023,90789
PG,2023,86034
PG,2023,108723
PG,2023,57872
PG,2023,106842
PG,2023,76560
PG,2023,76452
PG,2023,82090
PG,2023,75632
PG,2023,64614
PG,2023,88850
PG,2023,103540
PG,2023,64807
PG,2023,53722
PG,2023,55251
PG,2023,76229
PG,2023,91929
PG,2023,87111
PG,2023,79597
PG,2023,75188
PG,2023,61225
PG,2023,84584
PG,2023,85551
PG,2023,79560
PG,2023,75922
PG,2023,44831
PG,2023,48454
PG,2023,54767
PG,2023,82133
PG,2023,72006
PG,2023,102843
PG,2023,107560
PG,2023,85529
PG,2023,100961
PG,2023,47294
PG,2023,82182
PG,2023,57342
PG,2023,59053
PG,2023,100984
PG,2023,56351
PG,2023,69851
PG,2023,58204
PG,2023,81916
PG,2023,78021
PG,2023,89164
PG,2023,104407
PG,2023,81913
PG,2023,84702
PG,2023,105310
PG,2023,69687
PG,2023,53255
PG,2023,65383
PG,2023,72703
PG,2023,80886
PG,2023,73384
PG,2023,57440
PG,2023,59348
PG,2023,43197
PG,2023,108724
PG,2023,72870
PG,2023,84566
PG,2023,77082
PG,2023,109926
PG,2023,86640
PG,2023,46911
PG,2023,48202
PG,2023,82442
PG,2023,70077
PG,2023,82601
PG,2023,71173
PG,2023,76092
PG,2023,82554
PG,2023,53956
PG,2023,83548
PG,2023,101003
PG,2023,88920
PG,2023,104376
PG,2023,86010
PG,2023,82667
PG,2023,58702
PG,2023,70454
PG,2023,81826
PG,2023,83137
PG,2023,73854
PG,2023,69399
PG,2023,76534
PG,2023,57165
PG,2023,42778
PG,2023,69140
PG,2023,91470
PG,2023,53962
PG,2023,66123
PG,2023,59048
PG,2023,80350
PG,2023,104959
PG,2023,77516
PG,2023,81796
PG,2023,55349
PG,2023,81681
PG,2023,70910
PG,2023,88837
PG,2023,52901
PG,2023,63632
PG,2023,73857
PG,2023,51025
PG,2023,85112
PG,2023,91173
PG,2023,68351
PG,2023,60276
PG,2023,87399
PG,2023,65987
PG,2023,53860
PG,2023,67516
PG,2023,57037
PG,2023,58295
PG,2023,64785
PG,2023,76067
PG,2023,103893
PG,2023,87018
PG,2023,61528
PG,2023,87298
PG,2023,59535
PG,2023,72039
PG,2023,108330
PG,2023,105206
PG,2023,69389
PG,2023,87784
PG,2023,66912
PG,2023,89186
PG,2023,60647
PG,2023,87560
PG,2023,52931
PG,2023,103094
PG,2023,63355
PG,2023,48776
PG,2023,92644
PG,2023,46231
PG,2023,109498
PG,2023,59261
